url,rental_type,guests,bedrooms,beds,baths,latitude,longitude,host_name,superhost,years_hosting
https://www.airbnb.com/rooms/1169518118012343551,Entire rental unit,2,1,1,1,32.0823,-81.0938,Brandon & Chase Superhost · 10 years hosting,Superhost,10
https://www.airbnb.com/rooms/1171101680461431674,Entire home,5,2,2,2,32.10066,-81.27991,Victoria Superhost · 2 years hosting,Superhost,2
https://www.airbnb.com/rooms/1172723872490273140,Entire home,14,4,9,2,32.06238,-81.04078,Patrick Superhost · 3 years hosting,Superhost,3
https://www.airbnb.com/rooms/1173136701999881371,Entire home,6,3,4,1,32.0483,-81.076,Courtney 8 years hosting,,8
https://www.airbnb.com/rooms/1173861872640536415,Entire guesthouse,4,1,2,1,32.06111,-81.09339,Madeline Superhost · 5 years hosting,Superhost,5
https://www.airbnb.com/rooms/1174892409340063646,Entire cottage,6,3,3,1,32.04413,-81.12401,Vee Superhost · 2 years hosting,Superhost,2
https://www.airbnb.com/rooms/1175965553729718139,Entire home,8,3,4,2,31.94846,-81.11318,Spicy Stays Superhost · 4 years hosting,Superhost,4
https://www.airbnb.com/rooms/1176043654186220791,Entire home,4,2,2,1,32.05245430879038,-81.01277000357284,Lacey Superhost · 4 years hosting,Superhost,4
https://www.airbnb.com/rooms/1177439212098817724,Entire home,6,2,,2,32.05436,-81.10808,Yvonne 2 years hosting,,2
https://www.airbnb.com/rooms/1179209411078159616,Entire condo,6,3,3,3,32.0806,-81.0957,Heirloom Superhost · 7 years hosting,Superhost,7
https://www.airbnb.com/rooms/1179222258996345724,Entire home,8,4,5,3,32.202,-81.1935,Yazmin Superhost · 2 years hosting,Superhost,2
https://www.airbnb.com/rooms/1182018235443567752,Entire home,8,3,4,3,32.06167,-81.26445,Miranda Superhost · 3 years hosting,Superhost,3
https://www.airbnb.com/rooms/1182530538531842498,Entire rental unit,4,1,2,1,32.0719,-81.0895,Lucky Savannah Superhost · 10 years hosting,Superhost,10
https://www.airbnb.com/rooms/1182532196692486353,Entire home,6,3,3,2,32.0719,-81.0895,Lucky Savannah Superhost · 10 years hosting,Superhost,10
https://www.airbnb.com/rooms/1183441043262678472,Entire condo,8,4,4,4,32.0736,-81.0916,Chaz Superhost · 2 years hosting,Superhost,2
https://www.airbnb.com/rooms/1183997705527539572,Entire rental unit,2,1,1,1,32.0736,-81.0917,Chaz Superhost · 2 years hosting,Superhost,2
https://www.airbnb.com/rooms/1184019353782472598,Entire home,10,4,5,3,32.0719,-81.0895,Lucky Savannah Superhost · 10 years hosting,Superhost,10
https://www.airbnb.com/rooms/1184021882415725658,Entire condo,2,1,1,1,32.0736,-81.0917,Chaz Superhost · 2 years hosting,Superhost,2
https://www.airbnb.com/rooms/1184021883939697482,Entire condo,2,1,1,1,32.0736,-81.0917,Chaz Superhost · 2 years hosting,Superhost,2
https://www.airbnb.com/rooms/1184103480051593354,Entire home,8,4,4,2,32.08896,-81.25484,Trinh Superhost · 6 years hosting,Superhost,6
https://www.airbnb.com/rooms/1187115144421861524,Entire townhouse,4,2,2,1,32.07336,-81.08734,Vacasa Georgia 8 years hosting,,8
https://www.airbnb.com/rooms/1187719192001324164,Entire home,8,4,5,2,32.05758,-81.26495,Stephanie Superhost · 2 years hosting,Superhost,2
https://www.airbnb.com/rooms/1187816196033778461,Entire condo,4,1,1,1,32.02134,-80.8591,Southern Belle Vacation Rentals Superhost · 10 years hosting,Superhost,10
https://www.airbnb.com/rooms/1190056640601151350,Entire home,6,3,3,2,32.01308,-80.9794,Oscar Superhost · 3 years hosting,Superhost,3
https://www.airbnb.com/rooms/11902581,Entire rental unit,8,3,2,2,32.0777,-81.0865,Julie 10 years hosting,,10
https://www.airbnb.com/rooms/1191132099001348446,Entire home,3,2,2,2,32.2156,-81.1781,Tara Superhost · 9 years hosting,Superhost,9
https://www.airbnb.com/rooms/1191278127505459484,Entire home,10,4,8,2,32.03535,-80.99582,Yan 2 years hosting,,2
https://www.airbnb.com/rooms/1191649688292715219,Entire home,2,1,1,1,32.0529,-81.10574,Ramsey Superhost · 3 years hosting,Superhost,3
https://www.airbnb.com/rooms/1192816297277825237,Entire guesthouse,2,1,1,1,32.0035,-80.9696,Jill Superhost · 2 years hosting,Superhost,2
https://www.airbnb.com/rooms/1192858517857927526,Entire home,12,5,8,3,32.02026,-80.86005,Southern Belle Vacation Rentals Superhost · 10 years hosting,Superhost,10
https://www.airbnb.com/rooms/11935045,Entire rental unit,4,1,1,1,32.0748,-81.0913,Mary Superhost · 13 years hosting,Superhost,13
https://www.airbnb.com/rooms/1194150967510094301,Entire home,8,3,6,3,32.12433,-81.25859,Caleb 4 years hosting,,4
https://www.airbnb.com/rooms/1194857266180420053,Entire condo,2,1,1,1,32.0736,-81.0917,Chaz Superhost · 2 years hosting,Superhost,2
https://www.airbnb.com/rooms/1195472885896005268,Entire home,6,2,3,2,32.03427,-80.97917,Caleb Barnes Superhost · 2 years hosting,Superhost,2
https://www.airbnb.com/rooms/1195821115483952572,Entire rental unit,4,2,3,2,32.0792,-81.0942,Chaz Superhost · 2 years hosting,Superhost,2
https://www.airbnb.com/rooms/1196629954914027512,Entire home,8,3,4,2,32.0144,-80.9579,Carlos & Marci Superhost · 7 years hosting,Superhost,7
https://www.airbnb.com/rooms/1197063594332589893,Entire home,10,4,5,2,32.0511,-81.1173,SNS Quality Rentals Superhost · 2 years hosting,Superhost,2
https://www.airbnb.com/rooms/1197344498932362098,Entire home,8,3,5,1,32.01466,-80.97753,Kaylee Superhost · 2 years hosting,Superhost,2
https://www.airbnb.com/rooms/1197757188101454439,Entire home,6,3,3,2,32.03684,-81.0017,Melissa Superhost · 4 years hosting,Superhost,4
https://www.airbnb.com/rooms/1197973362379630413,Entire rental unit,4,2,2,2,32.0793,-81.0938,Yu Superhost · 2 years hosting,Superhost,2
https://www.airbnb.com/rooms/1199303620365015031,Entire home,4,3,3,2,32.11608,-81.26426,Denise Superhost · 2 years hosting,Superhost,2
https://www.airbnb.com/rooms/1199890032986508405,Entire rental unit,4,1,2,1,32.0776,-81.0761,Lucky Savannah Superhost · 10 years hosting,Superhost,10
